indicator_id,IndicatorName,Measure,How_Calculated,SourceName,SourceDescription,
386,Ozone (O3),Mean,<p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period. The results were then assigned to the appropriate NYC neighborhood and averaged. In NYC; ozone is measured in units of parts per billion (ppb).</p>,NYCCAS,New York City Community Air Survey,
389,Ozone (O3),10th Percentile,<p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period. The results were then assigned to the appropriate NYC neighborhood and the 10th percentile determined. In NYC; ozone is measured in units of parts per billion (ppb).</p>,NYCCAS,New York City Community Air Survey,
390,Ozone (O3),90th Percentile,<p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period. The results were then assigned to the appropriate NYC neighborhood and the 90th percentile determined. In NYC; ozone is measured in units of parts per billion (ppb).</p>,NYCCAS,New York City Community Air Survey,
391,Nitric Oxide (NO),Mean,Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period.  The results were then assigned to the appropriate NYC neighborhood and averaged. In NYCCAS; nitric oxide is measured in units of parts per billion (ppb).,NYCCAS,New York City Community Air Survey,
394,Nitric Oxide (NO),10th Percentile,Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period.  The results were then assigned to the appropriate NYC neighborhood and the 10th percentile determined.  In NYCCAS; nitric oxide is measured in units of parts per billion (ppb).,NYCCAS,New York City Community Air Survey,
395,Nitric Oxide (NO),90th Percentile,Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period.  The results were then assigned to the appropriate NYC neighborhood and the 90th percentile determined. In NYCCAS; nitric oxide is measured in units of parts per billion (ppb).,NYCCAS,New York City Community Air Survey,

NYC Department of Health and Mental Hygiene
Environment & Health Data Portal
Available at: http://nyc.gov/health/tracking Accessed 12/02/2018
